TypeName,ScreenResolution,Cpu,Ram,Memory,Gpu,Price
1,15,65,8.0,21,47,71395.2
1,15,80,4.0,12,22,42570.72
1,4,35,8.0,10,17,24455.52
1,15,58,4.0,9,19,31168.8
1,15,79,8.0,21,54,73366.56
4,18,94,16.0,22,97,160520.3856
1,18,58,8.0,9,54,45820.8
1,38,80,8.0,30,51,69210.72
1,18,27,4.0,3,3,19660.32
4,18,67,8.0,22,82,87858.72
1,15,98,8.0,21,48,72940.32
1,15,59,8.0,21,37,42486.0048
1,15,25,4.0,21,8,21258.1872
4,15,94,12.0,12,82,95850.72
1,18,80,8.0,21,40,45767.52
3,27,72,8.0,21,59,74538.72
1,15,35,4.0,14,47,39207.1536
3,14,80,8.0,21,54,61005.6
4,15,67,8.0,12,57,42517.44
1,4,15,4.0,9,2,18594.72
1,15,44,4.0,14,54,37589.04
1,15,58,4.0,9,54,41824.8
1,15,65,4.0,12,47,24634.008
1,15,35,4.0,9,47,21152.16
1,18,80,8.0,31,54,92121.12
1,15,35,4.0,14,47,26586.72
1,15,58,8.0,21,54,59513.2272
4,18,94,16.0,30,97,143802.72
1,8,35,8.0,12,47,28992.312
1,15,80,8.0,12,48,68198.4
1,4,14,4.0,9,3,11934.72
1,18,4,4.0,4,6,13586.4
1,8,80,6.0,22,40,50562.72
1,18,41,6.0,14,37,30310.992
1,4,35,4.0,12,18,32921.712
2,16,19,4.0,4,3,18594.72
1,15,42,4.0,14,54,33566.4
3,22,105,16.0,31,74,104695.2
1,18,94,8.0,21,103,159786.72
1,15,67,8.0,22,57,44701.92
3,31,59,8.0,14,59,85194.72
1,4,75,4.0,9,54,51095.52
1,15,29,4.0,9,13,18328.32
1,4,58,4.0,9,54,52747.2
5,8,79,8.0,9,93,99153.5472
1,4,25,8.0,10,8,20725.92
1,18,50,6.0,21,37,34578.72
1,15,58,8.0,21,54,44222.4
1,15,59,4.0,9,54,36496.8
1,15,4,4.0,3,6,13266.72
3,20,80,16.0,31,54,99367.2
4,18,112,32.0,30,97,141884.64
4,15,115,16.0,34,97,145401.12
1,15,80,8.0,21,19,39907.2528
1,18,27,4.0,3,3,20725.92
1,4,75,8.0,9,54,53733.9456
1,15,44,4.0,14,54,38308.32
1,15,98,16.0,21,48,81912.1392
0,4,9,4.0,5,1,15717.6
4,15,112,16.0,22,90,125154.72
4,18,94,16.0,30,57,79813.44
3,18,100,12.0,21,47,89137.44
1,5,72,12.0,12,54,32447.52
4,18,67,8.0,22,82,94305.6
2,5,58,8.0,12,47,39373.92
1,15,53,12.0,31,37,50562.72
2,5,46,4.0,14,75,32127.84
1,15,94,16.0,22,57,90522.72
1,15,35,4.0,9,47,28185.12
1,4,56,8.0,12,47,24455.52
2,16,80,8.0,31,54,107892.0
1,18,67,8.0,21,68,78534.72
2,20,58,8.0,21,54,88977.6
5,20,94,8.0,21,86,93932.64
1,15,80,8.0,21,54,64948.32
1,4,44,4.0,9,54,35616.6144
1,15,27,4.0,4,3,17529.12
4,15,112,16.0,22,83,117162.72
1,4,35,4.0,12,18,24775.2
4,34,94,16.0,27,82,122490.72
1,18,77,8.0,21,47,74538.72
1,15,58,6.0,12,54,30049.92
2,16,94,8.0,21,68,69210.72
1,4,25,4.0,13,8,18594.72
1,38,117,32.0,36,104,261018.72
4,15,90,16.0,12,50,46833.6528
1,4,34,4.0,12,47,23650.992
1,4,34,4.0,12,47,19127.52
1,4,75,4.0,9,54,46300.32
4,15,94,8.0,22,57,62231.04
3,15,80,8.0,31,54,74005.92
4,15,94,16.0,30,97,120831.5808
2,3,21,4.0,4,1,20193.12
1,4,75,8.0,21,54,59886.72
1,15,65,8.0,21,47,78055.2
1,15,59,4.0,12,37,41345.28
1,4,58,8.0,21,54,42570.72
1,4,65,4.0,9,47,49656.96
1,15,4,2.0,4,6,12733.92
1,15,58,4.0,14,54,24935.04
2,20,58,6.0,12,54,34046.4528
3,15,80,16.0,31,54,101232.0
4,15,94,16.0,30,71,78801.12
1,15,59,4.0,21,59,44169.12
1,15,35,4.0,12,17,30849.12
1,4,14,8.0,12,3,21258.72
1,15,67,8.0,12,57,48304.7136
3,27,59,8.0,21,59,99580.32
1,4,9,2.0,4,1,13266.72
2,16,80,8.0,21,54,93635.3376
1,39,94,16.0,36,57,127818.72
4,18,94,8.0,22,61,59087.52
1,8,32,8.0,12,12,27753.552
3,18,80,16.0,31,54,130536.0
4,18,94,8.0,12,71,62284.32
1,4,35,4.0,9,47,23976.0
1,4,9,4.0,4,6,14598.72
3,18,58,8.0,21,39,48964.32
4,15,94,16.0,21,82,138474.72
1,15,65,8.0,21,47,64628.64
3,18,80,8.0,21,54,84395.52
4,18,112,32.0,31,109,149130.72
4,15,67,8.0,12,57,37775.52
3,15,59,8.0,21,59,77250.672
4,15,94,8.0,22,71,63499.104
1,4,35,4.0,9,47,19441.872
1,18,58,8.0,9,54,56689.92
1,15,72,8.0,21,37,48964.32
1,15,72,16.0,27,37,60472.8
4,18,90,8.0,22,63,63722.88
4,38,94,32.0,34,97,167691.8736
1,15,87,8.0,21,47,65481.12
1,4,14,4.0,9,3,22324.32
1,15,65,4.0,9,47,28504.8
1,1,35,6.0,12,19,28717.92
4,15,94,8.0,22,82,79215.1056
1,4,36,4.0,14,47,26533.44
1,15,80,8.0,12,37,39693.6
1,18,58,8.0,21,54,67026.24
1,4,35,4.0,14,47,21951.36
3,23,98,8.0,21,80,99519.048
1,15,58,8.0,22,19,43580.376
2,16,58,8.0,21,54,55091.52
1,4,20,4.0,14,2,18594.72
2,16,44,4.0,14,40,37242.72
4,15,94,16.0,30,57,68944.32
3,15,58,8.0,21,54,60472.8
2,5,14,8.0,6,3,26373.6
3,18,72,8.0,31,54,122490.72
4,15,67,16.0,21,71,69210.72
4,15,67,8.0,21,57,53168.112
1,4,14,4.0,14,3,22324.32
4,15,67,16.0,22,82,109277.28
1,18,35,4.0,21,31,37242.72
2,16,72,8.0,31,59,79866.72
4,15,115,16.0,30,97,149916.6
1,4,58,4.0,9,20,32639.8608
1,4,35,4.0,12,19,29073.2976
1,18,38,6.0,10,16,30316.32
1,4,23,4.0,9,10,16943.04
1,4,23,4.0,4,10,19980.0
1,15,58,4.0,21,54,37242.72
5,15,94,8.0,9,93,101657.7072
2,33,80,8.0,21,54,137995.2
1,18,58,8.0,21,54,51841.44
0,4,16,4.0,4,6,14332.32
2,20,80,16.0,31,54,93186.72
2,20,52,4.0,6,74,35644.32
3,20,77,16.0,31,47,100006.56
4,15,67,8.0,12,57,43636.32
1,15,24,4.0,21,37,21258.72
1,4,53,8.0,12,11,22857.12
1,15,58,4.0,8,54,33110.856
1,4,35,4.0,9,47,23976.0
1,15,58,8.0,21,54,42357.6
2,16,59,1.0,21,59,53226.72
5,15,77,16.0,31,96,98834.4
1,15,70,8.0,21,47,63456.48
1,18,48,6.0,10,37,34898.9328
4,18,94,8.0,22,71,66546.72
1,15,79,8.0,21,48,58021.92
1,15,58,8.0,12,54,38681.28
1,15,14,4.0,4,3,15877.44
1,15,75,16.0,31,54,76012.4448
1,18,58,8.0,21,22,45664.6896
1,15,75,8.0,21,54,62817.12
1,4,7,4.0,9,9,15877.44
1,0,5,4.0,1,1,14119.2
1,15,80,8.0,21,48,63936.0
3,29,77,64.0,31,47,89864.1792
2,3,58,8.0,21,54,44574.048
3,18,58,8.0,21,54,79866.72
4,34,94,32.0,39,97,194972.832
4,15,94,8.0,22,71,71847.0144
1,4,58,4.0,12,54,26101.872
2,20,44,4.0,12,54,34578.72
1,4,58,8.0,12,36,31409.6256
1,15,32,4.0,12,20,26053.92
4,18,90,16.0,22,82,103096.8
1,4,58,12.0,12,54,34578.72
1,15,50,6.0,22,20,34632.0
1,4,58,4.0,9,54,29783.52
1,18,58,8.0,21,54,51148.8
1,15,80,4.0,12,54,41505.12
5,15,94,16.0,21,91,128884.32
2,20,59,8.0,12,59,35111.52
4,15,94,16.0,30,82,111593.8944
1,4,35,4.0,9,47,21887.424
1,15,80,8.0,22,40,64308.96
1,4,35,8.0,21,47,35431.2
1,16,58,8.0,21,54,81784.8
2,20,58,8.0,21,54,53226.72
